Date,Last Value
2015-02-27 00:00:00,43.849998
2015-03-02 00:00:00,43.880001
2015-03-03 00:00:00,43.279999
2015-03-04 00:00:00,43.060001
2015-03-05 00:00:00,43.110001
2015-03-06 00:00:00,42.360001
2015-03-09 00:00:00,42.849998
2015-03-10 00:00:00,42.029999
2015-03-11 00:00:00,41.98
2015-03-12 00:00:00,41.02
2015-03-13 00:00:00,41.380001
2015-03-16 00:00:00,41.560001
2015-03-17 00:00:00,41.700001
2015-03-18 00:00:00,42.5
2015-03-19 00:00:00,42.290001
2015-03-20 00:00:00,42.880001
2015-03-23 00:00:00,42.860001
2015-03-24 00:00:00,42.900002
2015-03-25 00:00:00,41.459999
2015-03-26 00:00:00,41.209999
2015-03-27 00:00:00,40.970001
2015-03-30 00:00:00,40.959999
2015-03-31 00:00:00,40.66
2015-04-01 00:00:00,40.720001
2015-04-02 00:00:00,40.290001
2015-04-06 00:00:00,41.549999
2015-04-07 00:00:00,41.529999
2015-04-08 00:00:00,41.419998
2015-04-09 00:00:00,41.48
2015-04-10 00:00:00,41.720001
2015-04-13 00:00:00,41.759998
2015-04-14 00:00:00,41.650002
2015-04-15 00:00:00,42.259998
2015-04-16 00:00:00,42.16
2015-04-17 00:00:00,41.619999
2015-04-20 00:00:00,42.91
2015-04-21 00:00:00,42.639999
2015-04-22 00:00:00,42.990002
2015-04-23 00:00:00,43.34
2015-04-24 00:00:00,47.869999
2015-04-27 00:00:00,48.029999
2015-04-28 00:00:00,49.16
2015-04-29 00:00:00,49.060001
2015-04-30 00:00:00,48.639999
2015-05-01 00:00:00,48.66
2015-05-04 00:00:00,48.240002
2015-05-05 00:00:00,47.599998
2015-05-06 00:00:00,46.279999
2015-05-07 00:00:00,46.700001
2015-05-08 00:00:00,47.75
2015-05-11 00:00:00,47.369999
2015-05-12 00:00:00,47.349998
2015-05-13 00:00:00,47.630001
2015-05-14 00:00:00,48.720001
2015-05-15 00:00:00,48.299999
2015-05-18 00:00:00,48.009998
2015-05-19 00:00:00,47.580002
2015-05-20 00:00:00,47.580002
2015-05-21 00:00:00,47.419998
2015-05-22 00:00:00,46.900002
2015-05-26 00:00:00,46.59
2015-05-27 00:00:00,47.610001
2015-05-28 00:00:00,47.450001
2015-05-29 00:00:00,46.860001
2015-06-01 00:00:00,47.23
2015-06-02 00:00:00,46.919998
2015-06-03 00:00:00,46.849998
2015-06-04 00:00:00,46.360001
2015-06-05 00:00:00,46.139999
2015-06-08 00:00:00,45.73
2015-06-09 00:00:00,45.650002
2015-06-10 00:00:00,46.610001
2015-06-11 00:00:00,46.439999
2015-06-12 00:00:00,45.970001
